Название вакансии,Название компании,Ссылка на компанию,Ссылка на вакансию,Дата открытия вакансии,Ссылка на логотип,Вилка
Senior Node.js Engineer (Cube Cloud),Cube.js,https://career.habr.com/companies/cube,https://career.habr.com/vacancies/1000069623,17 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/935/0/logo/medium_329a2192fba6e684c4ba8bc3670135b2.jpg,от 6 000 $
Golang разработчик,Kindda,https://career.habr.com/companies/aboutall-me,https://career.habr.com/vacancies/1000072324,17 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/407/7/logo/medium_b83857adde464782dcea0251a027cacc.png,До 400 000 ₽
Lead Android engineer,Planner 5D,https://career.habr.com/companies/planner5d,https://career.habr.com/vacancies/1000031597,17 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/005/600/1/logo/medium_4c2099e5bfb10deca7a8186ce284973f.jpeg,от 3 000 до 4 300 €
Ведущий Backend Разработчик (NodeJS / Golang),FingerprintJS,https://career.habr.com/companies/fpjs,https://career.habr.com/vacancies/1000070988,17 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/993/1/logo/medium_4a4301f247b4328000b02039a51442b0.png,от 6 000 $
JavaScript Разработчик (Fullstack),FingerprintJS,https://career.habr.com/companies/fpjs,https://career.habr.com/vacancies/1000070987,17 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/993/1/logo/medium_4a4301f247b4328000b02039a51442b0.png,от 6 000 $
IT-Рекрутер с 50+ закрытых IT-вакансий в бутик-агентство Anchous Drive ,Anchous Drive Recruitment,https://career.habr.com/companies/gimme-the-best-recruitment,https://career.habr.com/vacancies/1000071397,17 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/005/530/8/logo/medium_ca7bfaa26d0e35a743ed5b8a9d0c8a12.png,от 170 000 до 400 000 ₽
Senior Product Engineer,PeerBoard,https://career.habr.com/companies/peerboard,https://career.habr.com/vacancies/1000070967,16 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/609/6/logo/medium_ad9b74c5a8a3139ea08d9a0613594ac6.png,от 3 000 до 6 000 $
Senior Web UI Developer (трейдинговая платформа),B.TECH,https://career.habr.com/companies/btechrussia,https://career.habr.com/vacancies/1000071389,16 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/220/1/logo/medium_b21387057f0876fc01f6d566c6a3547f.png,от 250 000 до 400 000 ₽
Senior Kotlin(web) engineer,Axell Solutions,https://career.habr.com/companies/axellsolut,https://career.habr.com/vacancies/1000071359,16 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/006/734/2/logo/medium_70d529e0efddf9a36bba090a8214ef6e.png,от 3 500 до 5 500 $
Golang developer,HR Prime,https://career.habr.com/companies/hrprime,https://career.habr.com/vacancies/1000070582,16 марта,https://habrastorage.org/getpro/moikrug/uploads/company/100/007/121/3/logo/medium_8388525c87e54a3009426df87d5025cd.png,от 200 000 до 400 000 ₽
